trial	variant	workers	seed	sync_every	rescan	cores	port	rc	result
1	A	1	1	256	0		18101	0	T2_RESULT workers=1 ingested=366 admitted=54 rejected=312 replayed=366 edges=171 objects=366 queue_full=0 execs=91777003 registered=1 reports=1 objectives=0 wall_ms=120071 sync_every=256 rescan=0 sync_calls=5560 sync_ns=5448692880 sync_ns_p95=1017324 sync_ns_max=4496652 paths_listed=1969067 paths_read=366 bytes_read=15354 spooled=366
1	B	4	1	256	0		18102	0	T2_RESULT workers=4 ingested=411 admitted=49 rejected=362 replayed=411 edges=173 objects=411 queue_full=0 execs=365488745 registered=4 reports=4 objectives=0 wall_ms=120097 sync_every=256 rescan=0 sync_calls=22157 sync_ns=21660545531 sync_ns_p95=1032323 sync_ns_max=8311108 paths_listed=7712431 paths_read=1422 bytes_read=59727 spooled=1422
1	C	8	1	256	0		18103	0	T2_RESULT workers=8 ingested=490 admitted=54 rejected=436 replayed=490 edges=173 objects=490 queue_full=0 execs=536256799 registered=8 reports=8 objectives=0 wall_ms=120156 sync_every=256 rescan=0 sync_calls=32515 sync_ns=50725393055 sync_ns_p95=1670330 sync_ns_max=16417787 paths_listed=11798328 paths_read=2950 bytes_read=126994 spooled=2950
1	D	7	1	256	0	0-6	18104	0	T2_RESULT workers=7 ingested=455 admitted=51 rejected=404 replayed=455 edges=172 objects=455 queue_full=0 execs=493049929 registered=7 reports=7 objectives=0 wall_ms=120137 sync_every=256 rescan=0 sync_calls=29898 sync_ns=42779431767 sync_ns_p95=1617790 sync_ns_max=11669657 paths_listed=10714061 paths_read=2565 bytes_read=111693 spooled=2565
1	E	8	1	1	0		18105	0	T2_RESULT workers=8 ingested=450 admitted=57 rejected=393 replayed=450 edges=171 objects=450 queue_full=0 execs=41099165 registered=8 reports=8 objectives=0 wall_ms=120795 sync_every=1 rescan=0 sync_calls=638416 sync_ns=877874534313 sync_ns_p95=1441471 sync_ns_max=654820777 paths_listed=213087260 paths_read=2769 bytes_read=117298 spooled=2769
1	F	8	1	256	1		18106	0	T2_RESULT workers=8 ingested=465 admitted=52 rejected=413 replayed=465 edges=173 objects=465 queue_full=0 execs=526892537 registered=8 reports=8 objectives=0 wall_ms=120142 sync_every=256 rescan=1 sync_calls=31950 sync_ns=69169037706 sync_ns_p95=2298515 sync_ns_max=12233185 paths_listed=10831839 paths_read=10831839 bytes_read=451351964 spooled=2783
1	G	8	1	1	1		18107	0	T2_RESULT workers=8 ingested=438 admitted=58 rejected=380 replayed=438 edges=171 objects=438 queue_full=0 execs=29072672 registered=8 reports=8 objectives=0 wall_ms=120135 sync_every=1 rescan=1 sync_calls=451155 sync_ns=904077078064 sync_ns_p95=2085385 sync_ns_max=9530410 paths_listed=143254745 paths_read=143254745 bytes_read=5941854397 spooled=2632
2	D	7	2	256	0	0-6	18201	0	T2_RESULT workers=7 ingested=482 admitted=54 rejected=428 replayed=482 edges=172 objects=482 queue_full=0 execs=488984253 registered=7 reports=7 objectives=0 wall_ms=120139 sync_every=256 rescan=0 sync_calls=29662 sync_ns=42789434771 sync_ns_p95=1611908 sync_ns_max=9660838 paths_listed=10784327 paths_read=2599 bytes_read=112912 spooled=2599
2	G	8	2	1	1		18202	0	T2_RESULT workers=8 ingested=433 admitted=58 rejected=375 replayed=433 edges=171 objects=433 queue_full=0 execs=29581327 registered=8 reports=8 objectives=0 wall_ms=120149 sync_every=1 rescan=1 sync_calls=458683 sync_ns=903338154997 sync_ns_p95=2118905 sync_ns_max=20324865 paths_listed=143683990 paths_read=143683990 bytes_read=5767603814 spooled=2649
2	B	4	2	256	0		18203	0	T2_RESULT workers=4 ingested=405 admitted=56 rejected=349 replayed=405 edges=173 objects=405 queue_full=0 execs=361342857 registered=4 reports=4 objectives=0 wall_ms=120093 sync_every=256 rescan=0 sync_calls=21911 sync_ns=21698102184 sync_ns_p95=1040683 sync_ns_max=7652396 paths_listed=7686998 paths_read=1427 bytes_read=62210 spooled=1427
