trial	workers	seed	wall_s	execs	exec_per_sec	edges	admitted	rejected	objects	queue_full
1	1	1	300	14595123	48650.410000	160	55	277	332	0
1	2	1	300	28365602	94552.006667	171	59	307	366	0
1	4	1	300	59037999	196793.330000	171	59	309	368	0
1	8	1	301	77782016	258412.013289	171	56	377	433	0
2	1	2	300	14819002	49396.673333	171	62	270	332	0
2	2	2	300	29668890	98896.300000	171	58	294	352	0
2	4	2	300	57119898	190399.660000	171	57	315	372	0
2	8	2	300	74773970	249246.566667	173	62	383	445	0
3	1	3	300	15042330	50141.100000	167	57	282	339	0
3	2	3	300	28385816	94619.386667	171	62	291	353	0
3	4	3	300	54053959	180179.863333	171	62	346	408	0
3	8	3	300	72468407	241561.356667	171	56	401	457	0
4	1	4	300	14769790	49232.633333	171	61	273	334	0
4	2	4	300	30776684	102588.946667	171	60	275	335	0
4	4	4	300	55366466	184554.886667	173	59	342	401	0
4	8	4	300	68528472	228428.240000	171	57	425	482	0
5	1	5	300	14994110	49980.366667	171	59	281	340	0
5	2	5	300	29232095	97440.316667	171	58	298	356	0
5	4	5	300	55780854	185936.180000	171	57	347	404	0
5	8	5	300	75248088	250826.960000	171	55	395	450	0
